연도,시군구명,법정동명,법정동,법정동코드,0_3m_최다지층_경암층,0_3m_최다지층_기타,0_3m_최다지층_매립토층,0_3m_최다지층_붕적토층,0_3m_최다지층_전답토층,0_3m_최다지층_퇴적토층,0_3m_최다지층_풍화암층,0_3m_최다지층_풍화토층,3_10m_최다지층_기타,3_10m_최다지층_매립토층,3_10m_최다지층_붕적토층,3_10m_최다지층_연암층,3_10m_최다지층_퇴적토층,3_10m_최다지층_풍화암층,3_10m_최다지층_풍화토층,10_20m_최다지층_경암층,10_20m_최다지층_연암층,10_20m_최다지층_퇴적토층,10_20m_최다지층_풍화암층,10_20m_최다지층_풍화토층,20_30m_최다지층_경암층,20_30m_최다지층_연암층,20_30m_최다지층_풍화암층,20_30m_최다지층_풍화토층,30m이하_최다지층_경암층,30m이하_최다지층_연암층,30m이하_최다지층_풍화암층,30m이하_최다지층_풍화토층,전체_우세지층_경암층,전체_우세지층_기타,전체_우세지층_매립토층,전체_우세지층_붕적토층,전체_우세지층_연암층,전체_우세지층_전답토층,전체_우세지층_퇴적토층,전체_우세지층_풍화암층,전체_우세지층_풍화토층,평균 침수심,평균 침수면적,평균 침수위,평균 침수시간,침수여부,공사횟수,평균굴착용적,평균굴착면적,평균최대굴착깊이,시설용량,처리구역면적_합류식,처리구역면적_분류식,하수관로_총시설연장,하수관로_지선합류식,하수관로_지선분류식,용량_대_면적,지선_합류_대_분류,지하철역_개수,싱크홀 발생 여부
2018,강남구,개포동,강남구_개포동,1168010300,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5,108.0,18.94,150.0,1,0,,,,2530000.0,20.5,10.0,723869.3910000001,569369.96,119717.011,82950.81967213115,0.8262671969747634,0,0
2019,강남구,개포동,강남구_개포동,1168010300,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,0,,,,2530000.0,20.5,10.0,723869.3910000001,569369.96,119717.011,82950.81967213115,0.8262671969747634,0,0
2020,강남구,개포동,강남구_개포동,1168010300,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,0,,,,2530000.0,20.5,10.0,723869.3910000001,569369.96,119717.011,82950.81967213115,0.8262671969747634,0,0
2021,강남구,개포동,강남구_개포동,1168010300,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,1,0.0,0.0,24.81,2530000.0,20.5,10.0,723869.3910000001,569369.96,119717.011,82950.81967213115,0.8262671969747634,0,0
2022,강남구,개포동,강남구_개포동,1168010300,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.3,687.3,25.72,50.35,1,2,0.0,0.0,20.335,2530000.0,20.5,10.0,731957.51,552981.1699999999,144193.97999999998,82950.81967213115,0.7931739534893061,0,1
2023,강남구,개포동,강남구_개포동,1168010300,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,4,0.0,0.0,23.6,2530000.0,20.5,10.0,732317.9700000001,552556.78,144975.58,82950.81967213115,0.7921593487074923,0,0
2024,강남구,개포동,강남구_개포동,1168010300,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,3,0.0,0.0,23.19666666666667,2530000.0,20.5,10.0,732317.9700000001,552556.78,144975.58,82950.81967213115,0.7921593487074923,0,0
2025,강남구,개포동,강남구_개포동,1168010300,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,4,100.0,0.0,20.5175,2530000.0,20.5,10.0,732317.9700000001,552556.78,144975.58,82950.81967213115,0.7921593487074923,0,0
2018,강남구,논현동,강남구_논현동,1168010800,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.43,213.9,23.44,150.0,1,4,0.0,0.0,18.9825,2530000.0,20.5,10.0,723869.3910000001,569369.96,119717.011,82950.81967213115,0.8262671969747634,3,1
2019,강남구,논현동,강남구_논현동,1168010800,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.1,334.2,40.18,30.0,1,8,0.0,0.0,19.5825,2530000.0,20.5,10.0,723869.3910000001,569369.96,119717.011,82950.81967213115,0.8262671969747634,3,0
2020,강남구,논현동,강남구_논현동,1168010800,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,19,0.0,0.0,20.800526315789472,2530000.0,20.5,10.0,723869.3910000001,569369.96,119717.011,82950.81967213115,0.8262671969747634,3,1
2021,강남구,논현동,강남구_논현동,1168010800,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,24,0.0,0.0,21.800833333333333,2530000.0,20.5,10.0,723869.3910000001,569369.96,119717.011,82950.81967213115,0.8262671969747634,3,1
2022,강남구,논현동,강남구_논현동,1168010800,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.3,845.62,17.13,72.0,1,26,0.0,0.0,22.91884615384616,2530000.0,20.5,10.0,731957.51,552981.1699999999,144193.97999999998,82950.81967213115,0.7931739534893061,3,0
2023,강남구,논현동,강남구_논현동,1168010800,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.15,1031.84,27.14,,1,31,0.0,0.0,23.988709677419354,2530000.0,20.5,10.0,732317.9700000001,552556.78,144975.58,82950.81967213115,0.7921593487074923,3,0
2024,강남구,논현동,강남구_논현동,1168010800,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,29,0.0,0.0,24.692758620689656,2530000.0,20.5,10.0,732317.9700000001,552556.78,144975.58,82950.81967213115,0.7921593487074923,3,1
2025,강남구,논현동,강남구_논현동,1168010800,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,25,0.0,0.0,23.2688,2530000.0,20.5,10.0,732317.9700000001,552556.78,144975.58,82950.81967213115,0.7921593487074923,3,0
2018,강남구,대치동,강남구_대치동,1168010600,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5,184.2,19.83,150.0,1,3,0.0,0.0,15.466666666666669,2530000.0,20.5,10.0,723869.3910000001,569369.96,119717.011,82950.81967213115,0.8262671969747634,2,0
